VivadoVersion,FpgaPart,TopModule,TargetClk,EstimatedClk,BestLatency,WorstLatency,IIntervalMin,IIntevalMax,HLSResourceBram,HLSResourceDsp,HLSResourceFf,HLSResourceLut,ResourceBram,ResourceDsp,ResourceFf,ResourceLut,GitRevision,Arch,Model,ReuseFactor,ExecutionTime
?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,68adadc,solution1,2layer_100x100,1,?
?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,68adadc,solution1,2layer_100x100,2,?
?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,68adadc,solution1,2layer_100x100,4,?
?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,68adadc,solution1,2layer_100x100,5,?
?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,68adadc,solution1,2layer_100x100,8,?
2018.2,xcku115-flvb2104-2-i,myproject,5.00,4.375,38,40,10,10,1168,2000,154950,852445,?,?,?,?,68adadc,solution1,2layer_100x100,10,8872.13
?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,68adadc,solution1,2layer_100x100,16,?
2018.2,xcku115-flvb2104-2-i,myproject,5.00,4.375,56,58,20,20,724,1000,83168,454275,636,1000,37672,46549,68adadc,solution1,2layer_100x100,20,4908.73
2018.2,xcku115-flvb2104-2-i,myproject,5.00,4.375,64,66,25,25,634,800,70408,373739,546,800,35712,39964,68adadc,solution1,2layer_100x100,25,4638.97
?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,68adadc,solution1,2layer_100x100,40,?
2018.2,xcku115-flvb2104-2-i,myproject,5.00,4.375,113,115,50,50,456,400,45328,215967,368,400,34979,31448,68adadc,solution1,2layer_100x100,50,3269.17
?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,68adadc,solution1,2layer_100x100,80,?
2018.2,xcku115-flvb2104-2-i,myproject,5.00,4.375,213,215,100,100,368,200,37346,120031,280,200,34182,36399,68adadc,solution1,2layer_100x100,100,1970.74
?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,68adadc,solution1,2layer_100x100,125,?
?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,68adadc,solution1,2layer_100x100,200,?
2018.2,xcku115-flvb2104-2-i,myproject,5.00,4.375,699,701,250,250,314,160,104692,566834,226,160,51178,208004,68adadc,solution1,2layer_100x100,250,13511.6
2018.2,xcku115-flvb2104-2-i,myproject,5.00,4.375,891,893,400,400,300,100,84091,328669,212,100,44278,136487,68adadc,solution1,2layer_100x100,400,5506.99
2018.2,xcku115-flvb2104-2-i,myproject,5.00,4.375,1081,1083,500,500,296,80,77408,275419,208,80,42430,100977,68adadc,solution1,2layer_100x100,500,5733.63
2018.2,xcku115-flvb2104-2-i,myproject,5.00,4.375,1323,1325,625,625,306,64,72040,237839,218,64,40941,69382,68adadc,solution1,2layer_100x100,625,4516.96
2018.2,xcku115-flvb2104-2-i,myproject,5.00,4.375,2059,2061,1000,1000,296,40,62788,163975,208,40,39711,63186,68adadc,solution1,2layer_100x100,1000,3597.31
2018.2,xcku115-flvb2104-2-i,myproject,5.00,4.375,2555,2557,1250,1250,300,32,48854,146054,218,32,39658,48284,68adadc,solution1,2layer_100x100,1250,3283.94
2018.2,xcku115-flvb2104-2-i,myproject,5.00,4.375,4049,4051,2000,2000,296,20,56254,109982,208,20,39700,54246,68adadc,solution1,2layer_100x100,2000,3272.39
2018.2,xcku115-flvb2104-2-i,myproject,5.00,4.375,5047,5049,2500,2500,298,16,37273,100861,216,16,37863,42050,68adadc,solution1,2layer_100x100,2500,2227.56
2018.2,xcku115-flvb2104-2-i,myproject,5.00,4.375,10043,10045,5000,5000,296,8,31490,77577,216,8,37485,37677,68adadc,solution1,2layer_100x100,5000,1997.88
2018.2,xcku115-flvb2104-2-i,myproject,5.00,4.375,20014,20016,10000,10000,289,2,29204,65449,209,2,37684,32600,68adadc,solution1,2layer_100x100,10000,2247.18
