VivadoVersion,FpgaPart,TopModule,TargetClk,EstimatedClk,BestLatency,WorstLatency,IIntervalMin,IIntevalMax,HLSResourceBram,HLSResourceDsp,HLSResourceFf,HLSResourceLut,ResourceBram,ResourceDsp,ResourceFf,ResourceLut,GitRevision,Arch,Model,ReuseFactor,TotalExecutionTime,VivadoHlsExecutionTime,VivadoExecutionTime
?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,873fdc3,solution1,KERAS_dense_16x100x100x100x100x100x5,1,,0,0
?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,873fdc3,solution1,KERAS_dense_16x100x100x100x100x100x5,2,,0,0
?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,873fdc3,solution1,KERAS_dense_16x100x100x100x100x100x5,4,,0,0
?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,873fdc3,solution1,KERAS_dense_16x100x100x100x100x100x5,5,,0,0
?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,873fdc3,solution1,KERAS_dense_16x100x100x100x100x100x5,8,,0,0
?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,873fdc3,solution1,KERAS_dense_16x100x100x100x100x100x5,10,,0,0
?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,873fdc3,solution1,KERAS_dense_16x100x100x100x100x100x5,16,,0,0
?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,873fdc3,solution1,KERAS_dense_16x100x100x100x100x100x5,20,,0,0
?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,873fdc3,solution1,KERAS_dense_16x100x100x100x100x100x5,25,,0,0
?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,873fdc3,solution1,KERAS_dense_16x100x100x100x100x100x5,40,,0,0
2018.2,xcku115-flvb2104-2-i,myproject,5.00,4.375,404,410,50,50,388,869,120112,819645,388,869,90154,114538,873fdc3,solution1,KERAS_dense_16x100x100x100x100x100x5,50,14525.4,0,3308
?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,873fdc3,solution1,KERAS_dense_16x100x100x100x100x100x5,80,,0,0
2018.2,xcku115-flvb2104-2-i,myproject,5.00,4.375,660,666,100,100,203,432,97040,373449,203,432,88955,107380,873fdc3,solution1,KERAS_dense_16x100x100x100x100x100x5,100,5312.97,0,2824
?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,873fdc3,solution1,KERAS_dense_16x100x100x100x100x100x5,125,,0,0
?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,873fdc3,solution1,KERAS_dense_16x100x100x100x100x100x5,200,,0,0
2018.2,xcku115-flvb2104-2-i,myproject,5.00,4.375,3450,3456,1750,1750,89,354,194171,439425,?,?,?,?,873fdc3,solution1,KERAS_dense_16x100x100x100x100x100x5,250,,0,0
2018.2,xcku115-flvb2104-2-i,myproject,5.00,4.375,3016,3022,800,800,60,207,140148,216369,60,207,114054,296042,873fdc3,solution1,KERAS_dense_16x100x100x100x100x100x5,400,11390,0,3992
2018.2,xcku115-flvb2104-2-i,myproject,5.00,4.375,4683,4689,2000,2000,60,164,123870,196802,52,164,109406,199038,873fdc3,solution1,KERAS_dense_16x100x100x100x100x100x5,500,9841.82,0,4272
2018.2,xcku115-flvb2104-2-i,myproject,5.00,4.375,5189,5195,1875,1875,80,139,118706,197202,72,139,107984,172313,873fdc3,solution1,KERAS_dense_16x100x100x100x100x100x5,625,9014.79,0,4554
2018.2,xcku115-flvb2104-2-i,myproject,5.00,4.375,7140,7146,2000,2000,59,80,97211,148410,51,80,104660,141363,873fdc3,solution1,KERAS_dense_16x100x100x100x100x100x5,1000,5293.85,0,2488
2018.2,xcku115-flvb2104-2-i,myproject,5.00,4.375,8883,8889,2500,2500,67,64,91728,150231,68,64,104253,127734,873fdc3,solution1,KERAS_dense_16x100x100x100x100x100x5,1250,5350.51,0,2709
2018.2,xcku115-flvb2104-2-i,myproject,5.00,4.375,12108,12114,2000,2000,47,37,83508,127277,47,37,101468,124663,873fdc3,solution1,KERAS_dense_16x100x100x100x100x100x5,2000,4114.32,0,1812
2018.2,xcku115-flvb2104-2-i,myproject,5.00,4.375,15104,15110,2500,2500,47,29,80692,128953,59,29,100827,111398,873fdc3,solution1,KERAS_dense_16x100x100x100x100x100x5,2500,4149.53,0,2004
2018.2,xcku115-flvb2104-2-i,myproject,5.00,4.375,30096,30102,5000,5000,43,13,75600,118699,51,13,99864,105850,873fdc3,solution1,KERAS_dense_16x100x100x100x100x100x5,5000,3724.24,0,1730
2018.2,xcku115-flvb2104-2-i,myproject,5.00,4.375,60032,60038,10000,10000,19,1,64716,112589,19,1,89213,96126,873fdc3,solution1,KERAS_dense_16x100x100x100x100x100x5,10000,3724.01,0,1650
