VivadoVersion,FpgaPart,TopModule,TargetClk,EstimatedClk,BestLatency,WorstLatency,IIntervalMin,IIntevalMax,ResourceBram,ResourceDsp,ResourceFf,ResourceLut,GitRevision,Arch,Model,ReuseFactor,ExecutionTime
?,?,?,?,?,?,?,?,?,?,?,?,?,da5d0d3,solution1,KERAS_dense_16x500x500x500x500x500x5,1,?
?,?,?,?,?,?,?,?,?,?,?,?,?,da5d0d3,solution1,KERAS_dense_16x500x500x500x500x500x5,2,?
?,?,?,?,?,?,?,?,?,?,?,?,?,da5d0d3,solution1,KERAS_dense_16x500x500x500x500x500x5,4,?
?,?,?,?,?,?,?,?,?,?,?,?,?,da5d0d3,solution1,KERAS_dense_16x500x500x500x500x500x5,5,?
?,?,?,?,?,?,?,?,?,?,?,?,?,da5d0d3,solution1,KERAS_dense_16x500x500x500x500x500x5,8,?
?,?,?,?,?,?,?,?,?,?,?,?,?,da5d0d3,solution1,KERAS_dense_16x500x500x500x500x500x5,10,?
?,?,?,?,?,?,?,?,?,?,?,?,?,da5d0d3,solution1,KERAS_dense_16x500x500x500x500x500x5,16,?
?,?,?,?,?,?,?,?,?,?,?,?,?,da5d0d3,solution1,KERAS_dense_16x500x500x500x500x500x5,20,?
?,?,?,?,?,?,?,?,?,?,?,?,?,da5d0d3,solution1,KERAS_dense_16x500x500x500x500x500x5,25,?
?,?,?,?,?,?,?,?,?,?,?,?,?,da5d0d3,solution1,KERAS_dense_16x500x500x500x500x500x5,40,?
?,?,?,?,?,?,?,?,?,?,?,?,?,da5d0d3,solution1,KERAS_dense_16x500x500x500x500x500x5,50,?
?,?,?,?,?,?,?,?,?,?,?,?,?,da5d0d3,solution1,KERAS_dense_16x500x500x500x500x500x5,80,?
?,?,?,?,?,?,?,?,?,?,?,?,?,da5d0d3,solution1,KERAS_dense_16x500x500x500x500x500x5,100,?
?,?,?,?,?,?,?,?,?,?,?,?,?,da5d0d3,solution1,KERAS_dense_16x500x500x500x500x500x5,125,?
?,?,?,?,?,?,?,?,?,?,?,?,?,da5d0d3,solution1,KERAS_dense_16x500x500x500x500x500x5,200,?
?,?,?,?,?,?,?,?,?,?,?,?,?,da5d0d3,solution1,KERAS_dense_16x500x500x500x500x500x5,250,?
?,?,?,?,?,?,?,?,?,?,?,?,?,da5d0d3,solution1,KERAS_dense_16x500x500x500x500x500x5,400,?
?,?,?,?,?,?,?,?,?,?,?,?,?,da5d0d3,solution1,KERAS_dense_16x500x500x500x500x500x5,500,?
?,?,?,?,?,?,?,?,?,?,?,?,?,da5d0d3,solution1,KERAS_dense_16x500x500x500x500x500x5,625,?
?,?,?,?,?,?,?,?,?,?,?,?,?,da5d0d3,solution1,KERAS_dense_16x500x500x500x500x500x5,1000,?
?,?,?,?,?,?,?,?,?,?,?,?,?,da5d0d3,solution1,KERAS_dense_16x500x500x500x500x500x5,1250,?
?,?,?,?,?,?,?,?,?,?,?,?,?,da5d0d3,solution1,KERAS_dense_16x500x500x500x500x500x5,2000,?
?,?,?,?,?,?,?,?,?,?,?,?,?,da5d0d3,solution1,KERAS_dense_16x500x500x500x500x500x5,2500,?
?,?,?,?,?,?,?,?,?,?,?,?,?,da5d0d3,solution1,KERAS_dense_16x500x500x500x500x500x5,3125,?
?,?,?,?,?,?,?,?,?,?,?,?,?,da5d0d3,solution1,KERAS_dense_16x500x500x500x500x500x5,5000,?
?,?,?,?,?,?,?,?,?,?,?,?,?,da5d0d3,solution1,KERAS_dense_16x500x500x500x500x500x5,6250,?
?,?,?,?,?,?,?,?,?,?,?,?,?,da5d0d3,solution1,KERAS_dense_16x500x500x500x500x500x5,10000,?
?,?,?,?,?,?,?,?,?,?,?,?,?,da5d0d3,solution1,KERAS_dense_16x500x500x500x500x500x5,12500,?
?,?,?,?,?,?,?,?,?,?,?,?,?,da5d0d3,solution1,KERAS_dense_16x500x500x500x500x500x5,15625,?
?,?,?,?,?,?,?,?,?,?,?,?,?,da5d0d3,solution1,KERAS_dense_16x500x500x500x500x500x5,25000,?
?,?,?,?,?,?,?,?,?,?,?,?,?,da5d0d3,solution1,KERAS_dense_16x500x500x500x500x500x5,31250,?
?,?,?,?,?,?,?,?,?,?,?,?,?,da5d0d3,solution1,KERAS_dense_16x500x500x500x500x500x5,50000,?
?,?,?,?,?,?,?,?,?,?,?,?,?,da5d0d3,solution1,KERAS_dense_16x500x500x500x500x500x5,62500,?
2018.3,xcku115-flvb2104-2-i,myproject,5.00,4.375,750121,750127,125000,125000,512,13,349848,545002,da5d0d3,solution1,KERAS_dense_16x500x500x500x500x500x5,125000,?
2018.3,xcku115-flvb2104-2-i,myproject,5.00,4.375,1500037,1500043,250000,250000,80,1,310612,524172,da5d0d3,solution1,KERAS_dense_16x500x500x500x500x500x5,250000,18401.2
