#Model,ReuseFactor,VivadoHlsExitVal,VivadoExitVal,TotalExecutionTime,Timeout,TopModule,Arch,VivadoVersion,FpgaPart,GitRevision,VivadoHlsTargetClk,VivadoHlsEstimatedClk,VivadoHlsBestLatency,VivadoHlsWorstLatency,VivadoHlsIIntervalMin,VivadoHlsIIntevalMax,VivadoHlsResourceBram,VivadoHlsResourceDsp,VivadoHlsResourceFf,VivadoHlsResourceLut,VivadoClk,VivadoResourceBram,VivadoResourceDsp,VivadoResourceFf,VivadoResourceLut,VivadoHlsExecutionTime,VivadoExecutionTime
2layer_100x100,1,1,1,117.947,21600,?,solution1,?,?,a08617b,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
2layer_100x100,2,1,1,8994.653,21600,?,solution1,?,?,a08617b,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
2layer_100x100,4,-1,1,21601.448,21600,?,solution1,?,?,a08617b,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
2layer_100x100,5,-1,1,21601.881,21600,?,solution1,?,?,a08617b,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
2layer_100x100,8,-1,1,21602.321,21600,?,solution1,?,?,a08617b,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
2layer_100x100,10,-1,1,21602.769,21600,myproject,solution1,2018.2,xcku115-flvb2104-2-i,a08617b,5.00,4.375,74,74,34,34,1168,2000,1002375,8787582,?,?,?,?,?,15368,?
2layer_100x100,16,1,1,7094.180,21600,?,solution1,?,?,a08617b,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
2layer_100x100,20,0,0,16110.121,21600,myproject,solution1,2018.2,xcku115-flvb2104-2-i,a08617b,5.00,4.375,94,94,44,44,724,1000,513445,4436809,3.204,636,1000,73879,457969,4654,11429
2layer_100x100,25,0,1,8949.639,21600,myproject,solution1,2018.2,xcku115-flvb2104-2-i,a08617b,5.00,4.375,102,102,48,48,634,800,413781,3562814,?,?,?,?,?,3152,5748
2layer_100x100,40,-1,1,21603.194,21600,?,solution1,?,?,a08617b,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
2layer_100x100,50,0,0,5461.522,21600,myproject,solution1,2018.2,xcku115-flvb2104-2-i,a08617b,5.00,4.375,150,150,72,72,456,400,215901,1805023,2.775,370,400,45687,195703,1212,4225
2layer_100x100,80,1,1,9211.724,21600,?,solution1,?,?,a08617b,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
2layer_100x100,100,0,0,3501.475,21600,myproject,solution1,2018.2,xcku115-flvb2104-2-i,a08617b,5.00,4.375,250,250,122,122,368,200,116339,922368,3.096,280,200,39720,110470,737,2757
2layer_100x100,125,1,1,8498.575,21600,?,solution1,?,?,a08617b,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
2layer_100x100,200,0,0,19227.164,21600,myproject,solution1,2018.2,xcku115-flvb2104-2-i,a08617b,5.00,4.375,645,645,319,319,324,100,124966,739411,3.853,236,100,53865,324253,14792,4397
2layer_100x100,250,0,0,13604.230,21600,myproject,solution1,2018.2,xcku115-flvb2104-2-i,a08617b,5.00,4.375,705,705,349,349,314,80,103663,601395,3.553,226,80,46251,197963,8754,4811
2layer_100x100,400,0,0,5634.365,21600,myproject,solution1,2018.2,xcku115-flvb2104-2-i,a08617b,5.00,4.375,897,897,445,445,300,50,71081,351452,3.999,212,50,38302,121805,3081,2525
2layer_100x100,500,0,0,6200.891,21600,myproject,solution1,2018.2,xcku115-flvb2104-2-i,a08617b,5.00,4.375,1087,1087,540,540,296,40,60659,291909,4.173,208,40,35831,89600,2217,3967
2layer_100x100,625,0,0,4189.925,21600,myproject,solution1,2018.2,xcku115-flvb2104-2-i,a08617b,5.00,4.375,1329,1329,661,661,306,32,52395,244613,3.147,218,32,33613,48764,1811,2367
2layer_100x100,1000,0,1,1891.021,21600,myproject,solution1,2018.2,xcku115-flvb2104-2-i,a08617b,5.00,4.375,2065,2065,1029,1029,296,20,39560,170936,?,?,?,?,?,1186,697
2layer_100x100,1250,0,0,2517.374,21600,myproject,solution1,2018.2,xcku115-flvb2104-2-i,a08617b,5.00,4.375,2561,2561,1277,1277,300,16,35582,147695,3.244,218,16,30552,32636,1205,1302
2layer_100x100,2000,0,0,2350.756,21600,myproject,solution1,2018.2,xcku115-flvb2104-2-i,a08617b,5.00,4.375,4055,4055,2024,2024,296,10,29099,112064,3.512,208,10,29483,37014,1020,1315
2layer_100x100,2500,0,0,2082.666,21600,myproject,solution1,2018.2,xcku115-flvb2104-2-i,a08617b,5.00,4.375,5054,5054,2524,2524,297,8,27106,99816,3.008,216,8,28878,25470,1057,1016
2layer_100x100,5000,0,0,2053.792,21600,myproject,solution1,2018.2,xcku115-flvb2104-2-i,a08617b,5.00,4.375,10052,10052,5023,5023,296,4,22763,75171,2.763,216,4,28174,20713,919,1126
2layer_100x100,10000,0,0,1924.936,21600,myproject,solution1,2018.2,xcku115-flvb2104-2-i,a08617b,5.00,4.375,20019,20019,10006,10006,289,2,19458,62011,2.653,209,2,27413,17243,880,1038
