Seq	Host	Starttime	JobRuntime	Send	Receive	Exitval	Signal	Command
1	:	1555620604.067	   117.947	0	172	1	0	run_hls4ml_vivado 1
13	:	1555620604.134	  3501.475	0	51	0	0	run_hls4ml_vivado 100
11	:	1555620604.123	  5461.522	0	50	0	0	run_hls4ml_vivado 50
17	:	1555620722.020	  5634.365	0	51	0	0	run_hls4ml_vivado 400
7	:	1555620604.100	  7094.180	0	174	1	0	run_hls4ml_vivado 16
20	:	1555626356.397	  1891.021	0	52	0	0	run_hls4ml_vivado 1000
14	:	1555620604.140	  8498.575	0	176	1	0	run_hls4ml_vivado 125
9	:	1555620604.111	  8949.639	0	50	0	0	run_hls4ml_vivado 25
2	:	1555620604.071	  8994.653	0	172	1	0	run_hls4ml_vivado 2
12	:	1555620604.128	  9211.724	0	174	1	0	run_hls4ml_vivado 80
21	:	1555627698.406	  2517.374	0	52	0	0	run_hls4ml_vivado 1250
19	:	1555626065.671	  4189.925	0	51	0	0	run_hls4ml_vivado 625
18	:	1555624105.619	  6200.891	0	51	0	0	run_hls4ml_vivado 500
22	:	1555628247.436	  2350.756	0	52	0	0	run_hls4ml_vivado 2000
23	:	1555629102.794	  2082.666	0	52	0	0	run_hls4ml_vivado 2500
25	:	1555629598.732	  1924.936	0	53	0	0	run_hls4ml_vivado 10000
24	:	1555629553.769	  2053.792	0	52	0	0	run_hls4ml_vivado 5000
16	:	1555620604.151	 13604.230	0	51	0	0	run_hls4ml_vivado 250
8	:	1555620604.106	 16110.121	0	50	0	0	run_hls4ml_vivado 20
15	:	1555620604.145	 19227.164	0	51	0	0	run_hls4ml_vivado 200
3	:	1555620604.078	 21601.448	0	49	-1	15	run_hls4ml_vivado 4
4	:	1555620604.083	 21601.881	0	49	-1	15	run_hls4ml_vivado 5
5	:	1555620604.089	 21602.321	0	49	-1	15	run_hls4ml_vivado 8
6	:	1555620604.095	 21602.769	0	50	-1	15	run_hls4ml_vivado 10
10	:	1555620604.117	 21603.194	0	50	-1	15	run_hls4ml_vivado 40
