Model,ReuseFactor,VivadoHlsExitVal,VivadoExitVal,TotalExecutionTime,Timeout,TopModule,Arch,VivadoVersion,FpgaPart,GitRevision,VivadoHlsTargetClk,VivadoHlsEstimatedClk,VivadoHlsBestLatency,VivadoHlsWorstLatency,VivadoHlsIIntervalMin,VivadoHlsIIntevalMax,VivadoHlsResourceBram,VivadoHlsResourceDsp,VivadoHlsResourceFf,VivadoHlsResourceLut,VivadoClk,VivadoResourceBram,VivadoResourceDsp,VivadoResourceFf,VivadoResourceLut,VivadoHlsExecutionTime,VivadoExecutionTime
KERAS_dense_16x200x200x200x200x200x5,1,1,1,987.585,50400,?,solution1,?,?,0fc9f0b,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
KERAS_dense_16x200x200x200x200x200x5,2,1,1,941.535,50400,?,solution1,?,?,0fc9f0b,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
KERAS_dense_16x200x200x200x200x200x5,4,-1,1,50400.764,50400,?,solution1,?,?,0fc9f0b,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
KERAS_dense_16x200x200x200x200x200x5,5,-1,1,50400.884,50400,?,solution1,?,?,0fc9f0b,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
KERAS_dense_16x200x200x200x200x200x5,8,-1,1,50400.999,50400,?,solution1,?,?,0fc9f0b,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
KERAS_dense_16x200x200x200x200x200x5,10,-1,1,50401.071,50400,?,solution1,?,?,0fc9f0b,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
KERAS_dense_16x200x200x200x200x200x5,16,1,1,35516.901,50400,?,solution1,?,?,0fc9f0b,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
KERAS_dense_16x200x200x200x200x200x5,20,1,1,18401.421,50400,?,solution1,?,?,0fc9f0b,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
KERAS_dense_16x200x200x200x200x200x5,25,1,1,11000.944,50400,?,solution1,?,?,0fc9f0b,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
KERAS_dense_16x200x200x200x200x200x5,32,1,1,9742.019,50400,?,solution1,?,?,0fc9f0b,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
KERAS_dense_16x200x200x200x200x200x5,40,1,1,4930.226,50400,?,solution1,?,?,0fc9f0b,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
KERAS_dense_16x200x200x200x200x200x5,50,1,1,3658.529,50400,?,solution1,?,?,0fc9f0b,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
KERAS_dense_16x200x200x200x200x200x5,64,1,1,3146.213,50400,?,solution1,?,?,0fc9f0b,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
KERAS_dense_16x200x200x200x200x200x5,80,1,1,1974.852,50400,?,solution1,?,?,0fc9f0b,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
KERAS_dense_16x200x200x200x200x200x5,100,1,1,1587.644,50400,?,solution1,?,?,0fc9f0b,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
KERAS_dense_16x200x200x200x200x200x5,125,1,1,1345.828,50400,?,solution1,?,?,0fc9f0b,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
KERAS_dense_16x200x200x200x200x200x5,160,1,1,1182.472,50400,?,solution1,?,?,0fc9f0b,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
KERAS_dense_16x200x200x200x200x200x5,200,0,0,37376.713,50400,myproject,solution1,2018.2,xcku115-flvb2104-2-i,0fc9f0b,5.00,4.375,1316,1322,200,200,379,816,588738,1384576,4.528,373,803,230905,894272,21101,16258
KERAS_dense_16x200x200x200x200x200x5,250,0,0,31089.503,50400,myproject,solution1,2018.2,xcku115-flvb2104-2-i,0fc9f0b,5.00,4.375,1651,1657,250,250,376,1236,505110,1147340,4.247,244,992,184249,463338,19870,11201
KERAS_dense_16x200x200x200x200x200x5,320,0,0,21278.346,50400,myproject,solution1,2018.2,xcku115-flvb2104-2-i,0fc9f0b,5.00,4.375,2055,2061,320,320,250,958,386741,866798,3.961,163,628,139684,273821,14777,6482
KERAS_dense_16x200x200x200x200x200x5,400,0,0,13291.005,50400,myproject,solution1,2018.2,xcku115-flvb2104-2-i,0fc9f0b,5.00,4.375,2519,2525,400,400,202,397,172426,386952,3.762,108,397,101678,168642,10063,3207
KERAS_dense_16x200x200x200x200x200x5,500,0,0,12581.544,50400,myproject,solution1,2018.2,xcku115-flvb2104-2-i,0fc9f0b,5.00,4.375,3135,3141,500,500,179,612,250619,557494,4.189,72,250,79370,114032,8555,4007
