Seq	Host	Starttime	JobRuntime	Send	Receive	Exitval	Signal	Command
2	:	1557061709.629	   599.184	0	238	1	0	run_hls4ml_vivado 2
1	:	1557061709.625	   666.924	0	238	1	0	run_hls4ml_vivado 1
8	:	1557062376.556	 14301.398	0	240	1	0	run_hls4ml_vivado 20
9	:	1557076677.960	  9232.333	0	240	1	0	run_hls4ml_vivado 25
7	:	1557062308.817	 30103.430	0	240	1	0	run_hls4ml_vivado 16
10	:	1557085910.304	  8224.083	0	240	1	0	run_hls4ml_vivado 32
11	:	1557092412.252	  4307.746	0	240	1	0	run_hls4ml_vivado 40
12	:	1557094134.394	  2786.562	0	240	1	0	run_hls4ml_vivado 50
14	:	1557096920.962	  1502.945	0	240	1	0	run_hls4ml_vivado 80
13	:	1557096720.009	  2462.744	0	240	1	0	run_hls4ml_vivado 64
15	:	1557098423.914	  1187.940	0	242	1	0	run_hls4ml_vivado 100
16	:	1557099182.761	   917.549	0	242	1	0	run_hls4ml_vivado 125
17	:	1557099611.861	   770.792	0	242	1	0	run_hls4ml_vivado 160
3	:	1557061709.633	 50400.631	0	71	-1	15	run_hls4ml_vivado 4
4	:	1557061709.638	 50400.759	0	71	-1	15	run_hls4ml_vivado 5
5	:	1557061709.643	 50400.869	0	71	-1	15	run_hls4ml_vivado 8
6	:	1557061709.657	 50400.957	0	72	-1	15	run_hls4ml_vivado 10
23	:	1557112110.621	 14323.072	0	73	0	0	run_hls4ml_vivado 625
19	:	1557100382.658	 27892.012	0	73	0	0	run_hls4ml_vivado 250
22	:	1557112110.521	 16219.728	0	73	0	0	run_hls4ml_vivado 500
18	:	1557100100.314	 29961.878	0	73	0	0	run_hls4ml_vivado 200
21	:	1557112110.405	 18352.226	0	73	0	0	run_hls4ml_vivado 400
20	:	1557112110.273	 23769.970	0	73	0	0	run_hls4ml_vivado 320
24	:	1557126433.701	 12334.651	0	73	0	0	run_hls4ml_vivado 800
25	:	1557128274.677	 11451.562	0	74	0	0	run_hls4ml_vivado 1000
26	:	1557128330.254	 12144.284	0	74	0	0	run_hls4ml_vivado 1250
27	:	1557130062.198	 10528.062	0	74	0	0	run_hls4ml_vivado 1600
28	:	1557130462.639	 10590.990	0	74	0	0	run_hls4ml_vivado 2000
29	:	1557135880.248	 11457.450	0	74	0	0	run_hls4ml_vivado 2500
30	:	1557138768.358	  9656.023	0	74	0	0	run_hls4ml_vivado 4000
31	:	1557139726.247	  9467.170	0	74	0	0	run_hls4ml_vivado 5000
32	:	1557140474.553	  8945.548	0	74	0	0	run_hls4ml_vivado 8000
33	:	1557140590.270	  9702.713	0	75	0	0	run_hls4ml_vivado 10000
34	:	1557141053.638	  9481.470	0	75	0	0	run_hls4ml_vivado 20000
35	:	1557147337.705	  8937.144	0	75	0	0	run_hls4ml_vivado 40000
