Model,ReuseFactor,VivadoHlsExitVal,RTLSimExitVal,VivadoExitVal,TotalExecutionTime,Timeout,TopModule,Arch,VivadoVersion,FpgaPart,GitRevision,TargetResourceBram,TargetResourceDsp,TargetResourceFf,TargetResourceLut,VivadoHlsTargetClk,VivadoHlsEstimatedClk,VivadoHlsBestLatency,VivadoHlsWorstLatency,VivadoHlsIIntervalMin,VivadoHlsIIntevalMax,VivadoHlsResourceBram,VivadoHlsResourceDsp,VivadoHlsResourceFf,VivadoHlsResourceLut,VivadoClk,VivadoResourceBram,VivadoResourceDsp,VivadoResourceFf,VivadoResourceLut,VivadoHlsExecutionTime,VivadoExecutionTime,RTLSimulationExecutionTime
KERAS_digit_recognizer_mlp,1,1,?,?,82.087,43200,?,solution1,?,?,0128375,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
KERAS_digit_recognizer_mlp,2,2,?,?,43283.006,43200,?,solution1,?,?,0128375,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
KERAS_digit_recognizer_mlp,4,2,?,?,43287.546,43200,?,solution1,?,?,0128375,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
KERAS_digit_recognizer_mlp,7,2,?,?,43287.996,43200,?,solution1,?,?,0128375,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
KERAS_digit_recognizer_mlp,8,2,?,?,43288.441,43200,?,solution1,?,?,0128375,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
KERAS_digit_recognizer_mlp,14,0,0,2,43288.882,43200,myproject,solution1,2019.1,xcku115-flvb2104-2-i,0128375,4320,5520,1326720,663360,5.00,4.375,59,61,14,14,1848,908,726414,11462037,?,?,?,?,?,2834,?,278
KERAS_digit_recognizer_mlp,16,0,0,2,43289.303,43200,myproject,solution1,2019.1,xcku115-flvb2104-2-i,0128375,4320,5520,1326720,663360,5.00,4.375,63,65,16,16,1798,794,656050,9605917,?,?,?,?,?,2143,?,221
KERAS_digit_recognizer_mlp,28,0,0,2,43289.736,43200,myproject,solution1,2019.1,xcku115-flvb2104-2-i,0128375,4320,5520,1326720,663360,5.00,4.375,100,102,28,28,1661,454,506326,5774266,?,?,?,?,?,759,?,100
KERAS_digit_recognizer_mlp,32,0,0,2,43290.169,43200,myproject,solution1,2019.1,xcku115-flvb2104-2-i,0128375,4320,5520,1326720,663360,5.00,4.375,95,97,32,32,1622,397,468621,4827088,?,?,?,?,?,617,?,94
KERAS_digit_recognizer_mlp,49,0,0,2,43290.611,43200,myproject,solution1,2019.1,xcku115-flvb2104-2-i,0128375,4320,5520,1326720,663360,5.00,4.375,142,144,49,49,1566,260,409057,3301767,?,?,?,?,?,408,?,83
KERAS_digit_recognizer_mlp,56,0,0,2,43291.049,43200,myproject,solution1,2019.1,xcku115-flvb2104-2-i,0128375,4320,5520,1326720,663360,5.00,4.375,156,158,56,56,1550,227,393277,2909738,?,?,?,?,?,361,?,85
KERAS_digit_recognizer_mlp,64,0,0,2,43291.481,43200,myproject,solution1,2019.1,xcku115-flvb2104-2-i,0128375,4320,5520,1326720,663360,5.00,4.375,171,173,64,64,1537,199,375094,2438944,?,?,?,?,?,311,?,82
KERAS_digit_recognizer_mlp,98,0,0,2,43291.914,43200,myproject,solution1,2019.1,xcku115-flvb2104-2-i,0128375,4320,5520,1326720,663360,5.00,4.375,227,229,98,98,1502,130,344675,1674093,?,?,?,?,?,233,?,78
KERAS_digit_recognizer_mlp,112,0,0,2,43292.351,43200,myproject,solution1,2019.1,xcku115-flvb2104-2-i,0128375,4320,5520,1326720,663360,5.00,4.375,255,257,112,112,1495,114,336636,1465716,?,?,?,?,?,214,?,76
