Seq	Host	Starttime	JobRuntime	Send	Receive	Exitval	Signal	Command
1	:	1559677438.123	    82.087	0	208	1	0	run_hls4ml_vivado 1
2	:	1559677438.126	 43283.006	0	61	-1	15	run_hls4ml_vivado 2
3	:	1559677438.129	 43287.546	0	61	-1	15	run_hls4ml_vivado 4
4	:	1559677438.132	 43287.996	0	61	-1	15	run_hls4ml_vivado 7
5	:	1559677438.135	 43288.441	0	61	-1	15	run_hls4ml_vivado 8
6	:	1559677438.138	 43288.882	0	62	-1	15	run_hls4ml_vivado 14
7	:	1559677438.141	 43289.303	0	62	-1	15	run_hls4ml_vivado 16
8	:	1559677438.143	 43289.736	0	62	-1	15	run_hls4ml_vivado 28
9	:	1559677438.147	 43290.169	0	62	-1	15	run_hls4ml_vivado 32
10	:	1559677438.150	 43290.611	0	62	-1	15	run_hls4ml_vivado 49
11	:	1559677438.152	 43291.049	0	62	-1	15	run_hls4ml_vivado 56
12	:	1559677438.154	 43291.481	0	62	-1	15	run_hls4ml_vivado 64
13	:	1559677438.157	 43291.914	0	62	-1	15	run_hls4ml_vivado 98
14	:	1559677438.159	 43292.351	0	63	-1	15	run_hls4ml_vivado 112
15	:	1559677438.161	 43292.776	0	63	-1	15	run_hls4ml_vivado 128
16	:	1559677520.214	 43211.157	0	63	-1	15	run_hls4ml_vivado 196
27	:	1559720729.642	  2902.470	0	65	0	0	run_hls4ml_vivado 12544
25	:	1559720728.767	  3751.005	0	64	0	0	run_hls4ml_vivado 3136
26	:	1559720729.208	  4435.792	0	64	0	0	run_hls4ml_vivado 6272
24	:	1559720728.325	  4743.618	0	64	0	0	run_hls4ml_vivado 1792
21	:	1559720727.030	  4967.898	0	63	0	0	run_hls4ml_vivado 784
23	:	1559720727.887	  5391.336	0	64	0	0	run_hls4ml_vivado 1568
22	:	1559720727.453	  5561.369	0	63	0	0	run_hls4ml_vivado 896
20	:	1559720726.595	  6388.690	0	63	0	0	run_hls4ml_vivado 448
19	:	1559720726.153	  6790.835	0	63	0	0	run_hls4ml_vivado 392
18	:	1559720725.703	  7767.362	0	63	0	0	run_hls4ml_vivado 256
17	:	1559720725.596	  8424.081	0	63	0	0	run_hls4ml_vivado 224
