VivadoVersion,FpgaPart,TopModule,TargetClk,EstimatedClk,BestLatency,WorstLatency,IIntervalMin,IIntevalMax,ResourceBram,ResourceDsp,ResourceFf,ResourceLut,GitRevision,Arch,Model,ReuseFactor,ExecutionTime
2018.3,xcku115-flvb2104-2-i,myproject,5.00,4.375,30034,34130,14469,16517,13,4,157489,168539,94c1139,solution1,KERAS_3layer,1,4108.15
2018.3,xcku115-flvb2104-2-i,myproject,5.00,4.375,39,43,2,2,13,2160,170279,104400,94c1139,solution1,KERAS_3layer,2,960.07
2018.3,xcku115-flvb2104-2-i,myproject,5.00,4.375,228,236,173,178,13,1421,178406,1096852,94c1139,solution1,KERAS_3layer,3,25185.6
2018.3,xcku115-flvb2104-2-i,myproject,5.00,4.375,42,46,4,4,13,1096,85073,168331,94c1139,solution1,KERAS_3layer,4,360.66
2018.3,xcku115-flvb2104-2-i,myproject,5.00,4.375,56,60,8,8,13,532,52469,96235,94c1139,solution1,KERAS_3layer,8,339.97
2018.3,xcku115-flvb2104-2-i,myproject,5.00,4.375,87,91,16,16,13,266,33452,58324,38f27ca,solution1,KERAS_3layer,16,108.12
2018.3,xcku115-flvb2104-2-i,myproject,5.00,4.375,275,279,17,17,13,253,46592,348395,38f27ca,solution1,KERAS_3layer,17,2751.69
2018.3,xcku115-flvb2104-2-i,myproject,5.00,4.375,279,283,18,18,13,237,45635,279385,38f27ca,solution1,KERAS_3layer,18,2332.15
2018.3,xcku115-flvb2104-2-i,myproject,5.00,4.375,257,261,19,19,13,225,44532,246602,38f27ca,solution1,KERAS_3layer,19,1938.27
2018.3,xcku115-flvb2104-2-i,myproject,5.00,4.375,250,254,20,20,13,215,42791,227849,38f27ca,solution1,KERAS_3layer,20,1422.07
2018.3,xcku115-flvb2104-2-i,myproject,5.00,4.375,290,294,21,21,13,204,83294,257791,38f27ca,solution1,KERAS_3layer,21,2289.75
2018.3,xcku115-flvb2104-2-i,myproject,5.00,4.375,251,255,22,22,13,196,40876,230770,38f27ca,solution1,KERAS_3layer,22,1368.25
2018.3,xcku115-flvb2104-2-i,myproject,5.00,4.375,273,277,23,23,13,215,56273,234668,38f27ca,solution1,KERAS_3layer,23,1296.52
2018.3,xcku115-flvb2104-2-i,myproject,5.00,4.375,272,276,24,24,13,207,55538,225699,38f27ca,solution1,KERAS_3layer,24,1069.96
2018.3,xcku115-flvb2104-2-i,myproject,5.00,4.375,271,275,25,25,13,199,54874,215232,38f27ca,solution1,KERAS_3layer,25,1373.4
2018.3,xcku115-flvb2104-2-i,myproject,5.00,4.375,253,257,26,26,13,194,53466,157326,38f27ca,solution1,KERAS_3layer,26,427.81
2018.3,xcku115-flvb2104-2-i,myproject,5.00,4.375,253,257,27,27,13,182,50617,187971,38f27ca,solution1,KERAS_3layer,27,690.93
2018.3,xcku115-flvb2104-2-i,myproject,5.00,4.375,252,256,28,28,13,178,51518,196374,38f27ca,solution1,KERAS_3layer,28,895.94
2018.3,xcku115-flvb2104-2-i,myproject,5.00,4.375,259,263,29,29,13,173,51152,163372,38f27ca,solution1,KERAS_3layer,29,373.71
2018.3,xcku115-flvb2104-2-i,myproject,5.00,4.375,225,229,30,30,13,169,50757,176988,38f27ca,solution1,KERAS_3layer,30,800.81
2018.3,xcku115-flvb2104-2-i,myproject,5.00,4.375,244,248,31,31,13,165,51994,180710,38f27ca,solution1,KERAS_3layer,31,892.46
2018.3,xcku115-flvb2104-2-i,myproject,5.00,4.375,182,186,32,32,13,133,25504,56448,38f27ca,solution1,KERAS_3layer,32,304.48
2018.3,xcku115-flvb2104-2-i,myproject,5.00,4.375,225,229,34,34,13,128,61386,166962,38f27ca,solution1,KERAS_3layer,34,977.15
2018.3,xcku115-flvb2104-2-i,myproject,5.00,4.375,228,232,36,36,13,120,30898,153231,38f27ca,solution1,KERAS_3layer,36,367.42
2018.3,xcku115-flvb2104-2-i,myproject,5.00,4.375,232,236,38,38,13,113,29907,143913,38f27ca,solution1,KERAS_3layer,38,317.16
2018.3,xcku115-flvb2104-2-i,myproject,5.00,4.375,237,241,39,39,13,112,52539,148913,38f27ca,solution1,KERAS_3layer,39,604.41
2018.3,xcku115-flvb2104-2-i,myproject,5.00,4.375,250,254,40,40,13,108,30152,125917,38f27ca,solution1,KERAS_3layer,40,400.74
2018.3,xcku115-flvb2104-2-i,myproject,5.00,4.375,251,255,41,41,13,104,29663,117963,38f27ca,solution1,KERAS_3layer,41,258.03
2018.3,xcku115-flvb2104-2-i,myproject,5.00,4.375,256,260,42,42,13,103,49050,122493,38f27ca,solution1,KERAS_3layer,42,379.41
2018.3,xcku115-flvb2104-2-i,myproject,5.00,4.375,245,249,45,45,13,96,28216,107788,38f27ca,solution1,KERAS_3layer,45,173.11
2018.3,xcku115-flvb2104-2-i,myproject,5.00,4.375,248,252,46,46,13,95,44637,108145,38f27ca,solution1,KERAS_3layer,46,170.88
2018.3,xcku115-flvb2104-2-i,myproject,5.00,4.375,254,258,47,47,13,92,28803,104816,38f27ca,solution1,KERAS_3layer,47,162.74
